,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,correlation_0,correlation_45,correlation_90,correlation_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,contrast_0,contrast_45,contrast_90,contrast_135,label,ph,Location,Nitrogen Content    ( kg ha-1),Electrical Conductivity      (dSm-1),Organic Carbon (%)
927,49.26420684,51.45091656,49.15847701,50.18045755,0.438812719,0.398127492,0.448308652,0.420976984,0.024612434,0.023215168,0.024384585,0.025079555,4131.169548,4417.088728,4049.099928,4249.259057,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
928,55.69293473,56.66132611,55.67415589,57.90419728,0.389010076,0.371778306,0.395666493,0.350380221,0.022324573,0.020933942,0.021173078,0.020309944,5188.668893,5323.213701,5123.801706,5503.184295,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
929,50.2849807,51.41870954,50.55499282,52.72308504,0.436587909,0.414702428,0.439286586,0.391053968,0.024428213,0.023526524,0.024030817,0.022750561,4288.839429,4442.120826,4260.580029,4621.823252,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
930,59.23488644,61.74074343,58.69173851,60.32046992,0.411438891,0.372652897,0.418333969,0.38929555,0.020934195,0.020105409,0.02151214,0.021768173,5894.701409,6273.961082,5801.516954,6107.434313,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
931,55.06066972,56.85642322,54.79953305,55.92520186,0.385644242,0.350898254,0.393493497,0.367485876,0.021912445,0.021473474,0.02234592,0.022860491,5059.186175,5323.684204,4963.428664,5186.719957,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
932,59.72053147,61.78087946,59.54093032,60.6127155,0.385407856,0.349695234,0.392155241,0.368535862,0.021374453,0.019969222,0.021292163,0.021160964,5959.390699,6290.961101,5877.185291,6107.829636,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
933,52.86921627,54.49336219,52.36524784,53.98957954,0.392631046,0.36498964,0.406039293,0.36904046,0.021729135,0.020963173,0.022106872,0.02246122,4673.407828,4876.855405,4557.399731,4846.113134,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
934,50.15495107,51.41307194,49.6997306,52.02165927,0.423393226,0.395828684,0.435413798,0.390605979,0.024539329,0.023205986,0.024472085,0.021907414,4264.365275,4443.922529,4144.685363,4482.909526,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
935,58.00718197,59.09169273,57.44010417,60.37151742,0.413140116,0.391085389,0.421117688,0.375602791,0.022112452,0.021615235,0.022494004,0.020346149,5657.710566,5857.981196,5554.30246,6006.289027,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
936,58.21136547,59.54008147,57.71862428,60.46106423,0.408969458,0.381715023,0.415802819,0.371052715,0.022618408,0.022086819,0.021266548,0.021120283,5714.807541,5948.492944,5600.493768,6051.312523,0,9.12,"Achraya Narendra Dev University Campus,Ayodhya,U.P",128,0.2,0.65
